QueryId,Query Description
810,Can the trophy system protect me against bullets?
1336,where have all my decorations gone?
412,Is it safe to use the Abandoned Shack for storage?
419,Where is Draven and how do I return his bow? I can't find him anywhere
418,What do the 4 icons under the player name mean at the bottom of their callsign?
403,How do I beat level 10 in the tutorial?
420,What does it mean when an item in swtor is orange?
1433,How many forms of Vivilion are there?
881,Bad math in Borderlands 2 Badass Tokens?
1559,Please instruct me on how to light myself on fire
559,What is the best way to level archery?
390,What house provides the best means to level enchanting and smithing
187,Can mobs go through portals?
60,Can trees grow without sunlight?
1369,Does Link Between World's Hero Mode impact the street pass battles?
1081,What levels-up Psi-abilities?
615,Do hardcore Artisans maintain there level if my hardcore character dies?
593,What's the secret in the room with a floating purple block with Fez text on it?
2,How can I record demos of my gameplay?
895,Gate to allow only one player to pass through
1511,How do you build blocks of TNT
553,Which Aura Items Can Be Stacked?
1335,Is there a way to find out where to deliver the '?' bits that don't change when the elevator starts?
1334,What do you do with the items that are made on Imperial levels in Tiny Death Star?
125,Longer render distances in minecraft
956,Diablo 3 Monster Curses
66,"Why do some tiles have red ""chips"" on them in Civilization 5?"
162,What's the minimum number of booster tracks needed to get up to full speed?
73,Is there a fee for cancelling a building?
1243,How can you increase the shiny rate?
894,Skyrim Vampires question
967,Pocket Edition server problems
1326,Pokemon: Gameboy to 3DS trading?
254,How do I accept a Yield?
1327,How to Grabbing Keys In Runner 2
253,Is it possible to maximize all the skills and gain all the perks?
252,How can I tell if a weapon is one or two handed?
1241,How can you view your skill level?
930,Can you get legendary weapons in Vending Machines?
1566,How do i say bye bye to looking like steve on minecraft pc
1578,How do i make a button with delayed reactivation time?
1314,By what amount does the Masuda method increase the chance of breeding a Shiny?
1225,What are the most expensive cars you can sell to Los Santos Customs?
320,What do bookcases do for enchanting?
699,Explanation for Attack speed with dual items in Diablo 3
683,How does item level and rarity affect the possible attributes?
114,Why are blocks respawning in my Minecraft 1.3 SMP server?
858,What combos can you get breeding sun dragons with others?
857,How to trade with another player?
1570,How do I take off body armor in GTA V online?
1548,"Got a new Skyrim mansion, how can I bring the kids and dog with me?"
1349,Follower Missing in Skyrim
1165,Seperate Towns?
663,How can a monk tank effectively for a group?
1412,"""Panna City"" dream job?"
756,How does Magic Find affect iLvl 61+ drops with 5NV?
42,Is it better to spawn your first overlord at 9 or 10 supply?
523,Is there a such thing as a Hexa Kill?
106,Why does my spawn point change on my SMP server every time I respawn?
1094,How is the IP reward calculated?
266,How does learning enchants from disenchanting work?
678,How do I filter items in the Auction House by additional damage?
1076,why is my minecraft open to LAN not working 1.5.2
1463,Where can I find legendary crafting materials?
408,What shapes can I draw on a Goddess Wall?
